BULAN,KOTA MEULABOH,KOTA BANDA ACEH,KOTA LHOKSEUMAWE,KOTA SIBOLGA,KOTA PEMATANG SIANTAR,KOTA MEDAN,KOTA PADANGSIDIMPUAN,KOTA PADANG,KOTA BUKITTINGGI,TEMBILAHAN,KOTA PEKANBARU,KOTA DUMAI,BUNGO,KOTA JAMBI,KOTA PALEMBANG,KOTA LUBUKLINGGAU,KOTA BENGKULU,KOTA BANDAR LAMPUNG,KOTA METRO,TANJUNG PANDAN,KOTA PANGKAL PINANG,KOTA BATAM,KOTA TANJUNG PINANG,DKI JAKARTA,KOTA BOGOR,KOTA SUKABUMI,KOTA BANDUNG,KOTA CIREBON,KOTA BEKASI,KOTA DEPOK,KOTA TASIKMALAYA,CILACAP,PURWOKERTO,KUDUS,KOTA SURAKARTA,KOTA SEMARANG,KOTA TEGAL,KOTA YOGYAKARTA,JEMBER,BANYUWANGI,SUMENEP,KOTA KEDIRI,KOTA MALANG,KOTA PROBOLINGGO,KOTA MADIUN,KOTA SURABAYA,KOTA TANGERANG,KOTA CILEGON,KOTA SERANG,SINGARAJA,KOTA DENPASAR,KOTA MATARAM,KOTA BIMA,MAUMERE,KOTA KUPANG,KOTA PONTIANAK,KOTA SINGKAWANG,SAMPIT,KOTA PALANGKA RAYA,TANJUNG,KOTA BANJARMASIN,KOTA BALIKPAPAN,KOTA SAMARINDA,KOTA TARAKAN,KOTA MANADO,KOTA PALU,BULUKUMBA,WATAMPONE,KOTA MAKASSAR,KOTA PARE-PARE,KOTA PALOPO,KOTA KENDARI,KOTA BAU-BAU,KOTA GORONTALO,MAMUJU,KOTA AMBON,KOTA TUAL,KOTA TERNATE,MANOKWARI,KOTA SORONG,MERAUKE,KOTA JAYAPURA
Nov-14,0.00,-0.01,0.24,3.69,0.00,0.06,1.65,0.01,0.01,0.50,3.14,1.30,0.08,0.10,1.52,0.69,0.00,0.07,0.00,1.32,1.07,0.38,0.28,1.99,0.92,0.61,0.03,0.69,0.36,0.09,0.07,1.64,0.00,0.88,-0.01,0.28,0.00,0.17,3.77,0.00,2.83,0.66,0.12,0.06,0.19,1.29,0.28,0.91,2.50,2.52,0.00,0.95,0.39,0.27,0.27,0.14,0.15,0.51,0.27,0.66,0.00,0.32,0.04,0.11,0.08,0.63,0.05,-0.01,0.00,0.98,0.34,0.13,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.37,0.84
Dec-14,0.00,0.00,0.36,1.62,0.11,1.05,0.03,1.10,0.12,0.00,1.73,0.13,0.21,1.13,2.30,1.87,0.74,3.21,0.11,4.04,0.00,2.09,1.89,7.57,0.45,1.14,0.43,0.07,0.90,0.01,0.33,2.23,0.37,0.00,1.17,2.00,0.36,0.19,0.04,6.93,7.13,0.79,1.32,0.16,1.43,1.68,0.54,2.64,3.01,0.79,0.15,0.70,1.68,3.00,3.24,0.40,1.65,0.86,1.15,1.39,6.57,5.68,5.87,1.14,0.40,0.09,0.85,1.69,0.98,4.89,0.56,1.61,0.02,0.20,1.62,0.00,1.01,1.17,1.66,1.12,1.62,2.69
Jan-15,0.62,0.05,0.14,0.05,0.77,0.45,0.00,2.66,0.07,0.61,0.05,0.44,0.17,1.54,2.26,0.05,1.17,0.84,0.22,0.67,0.00,1.67,0.34,0.63,0.33,0.64,0.33,0.01,0.40,0.65,0.28,0.67,2.13,0.26,0.03,0.10,0.54,0.75,1.38,0.24,0.00,0.45,0.09,0.05,0.87,1.12,-0.05,0.31,1.20,0.04,0.00,1.13,0.94,2.80,0.28,0.00,0.92,2.11,5.22,0.53,0.93,3.35,2.16,1.47,0.82,0.15,0.31,0.38,0.55,0.44,1.75,1.53,2.06,0.27,1.09,3.18,0.07,2.08,0.43,4.37,1.33,0.73
Feb-15,0.00,0.05,0.36,0.16,1.50,0.20,0.00,0.96,0.18,0.00,0.95,0.86,0.00,0.69,0.22,0.00,0.02,0.13,0.00,1.77,0.00,0.00,0.02,0.51,0.66,0.86,0.14,-0.02,0.38,0.10,0.36,0.83,0.05,-0.24,0.06,0.02,0.50,0.59,0.87,0.00,0.03,0.83,0.12,0.28,0.24,0.35,0.23,0.85,0.35,0.22,0.06,-0.02,1.53,2.47,0.96,0.00,0.10,0.28,0.72,0.09,0.00,0.05,0.37,0.43,0.00,0.54,0.02,0.53,0.01,0.74,0.42,0.09,0.42,0.95,0.23,0.29,0.09,2.59,5.00,0.38,0.20,0.37
Mar-15,0.00,0.00,2.63,0.10,2.69,0.01,0.21,0.23,0.00,0.00,0.07,0.00,0.93,0.42,2.13,0.05,0.13,0.53,0.17,0.21,2.28,0.18,0.29,0.77,0.32,0.37,1.58,0.14,0.34,0.03,0.02,0.16,0.00,0.16,0.00,0.05,0.27,0.15,0.09,0.00,0.05,0.58,0.14,0.84,0.28,0.75,0.41,0.67,0.38,0.54,0.12,0.02,0.08,0.66,0.32,0.26,0.94,1.19,0.02,0.05,0.02,0.03,0.72,0.06,0.08,-0.03,0.02,1.06,0.12,1.02,1.04,0.00,0.08,0.02,-0.01,0.16,0.14,0.85,0.00,0.05,0.85,0.54
Apr-15,0.00,0.02,0.00,0.01,0.74,0.41,0.05,0.21,0.01,0.00,0.07,0.21,0.53,0.77,0.39,0.76,1.07,0.03,0.00,0.00,0.00,0.51,0.36,0.50,0.04,0.54,0.13,0.00,0.00,0.02,0.00,1.14,0.59,1.51,0.02,0.12,0.71,1.48,0.00,0.00,0.08,-0.03,0.13,0.11,0.34,0.33,1.18,0.28,0.63,0.00,0.54,0.01,0.16,-0.07,0.50,0.00,2.04,0.06,0.18,0.13,0.05,0.03,0.39,0.04,0.90,0.62,0.02,0.16,0.93,0.27,0.26,0.26,0.04,0.00,0.23,4.45,1.25,0.00,0.29,0.49,0.00,0.36
May-15,0.00,0.12,0.03,0.03,-0.03,0.11,0.05,-0.08,0.57,0.34,0.01,0.02,0.00,0.87,0.00,0.50,0.04,2.72,0.40,0.80,0.00,0.00,0.15,0.23,0.20,0.43,0.13,0.00,0.67,0.47,0.26,0.43,0.60,0.15,0.01,0.03,0.48,0.10,0.90,0.00,0.02,0.03,0.12,0.16,0.11,1.08,0.75,0.42,0.60,0.15,0.19,0.13,0.02,1.18,0.11,0.28,0.85,2.78,0.54,0.69,0.02,-0.02,0.03,0.14,1.16,0.03,0.00,0.24,0.02,0.87,2.97,3.27,0.11,0.01,0.00,0.93,0.00,0.07,0.04,0.44,0.32,0.37
Jun-15,0.00,0.02,0.07,0.03,0.00,0.16,0.03,0.01,0.15,0.00,1.44,0.03,0.34,0.86,0.50,0.52,0.14,0.61,0.20,0.09,0.00,1.22,0.01,0.66,0.16,0.44,0.24,0.00,0.04,-0.07,0.07,0.20,0.00,0.03,0.01,0.29,-0.19,0.13,0.07,0.00,0.47,0.01,0.16,-0.02,0.02,0.90,0.25,0.03,0.13,0.00,0.32,0.22,0.01,1.48,0.81,0.02,0.05,0.98,0.73,0.14,0.06,1.51,0.24,0.02,0.63,0.55,0.00,0.77,0.32,1.29,0.03,0.52,0.69,0.00,0.04,0.72,0.00,0.27,0.54,0.01,0.69,0.43
Jul-15,0.00,0.00,0.29,0.00,0.96,0.70,0.01,0.28,0.89,0.00,0.02,0.70,0.00,0.40,0.13,2.91,0.02,0.08,0.36,0.31,0.46,0.36,0.10,0.67,0.43,1.29,0.04,2.40,0.70,0.18,0.00,0.52,0.00,0.64,0.00,0.13,0.31,0.54,0.22,0.00,0.19,0.18,0.05,0.04,0.98,0.44,0.57,0.08,0.05,0.00,0.00,0.47,0.10,1.77,0.57,0.04,0.22,0.09,1.28,2.13,0.21,2.17,0.12,0.47,0.13,0.29,0.13,1.32,0.00,0.30,0.04,0.00,0.19,0.00,0.28,0.08,0.33,0.12,0.23,0.00,0.54,0.49
Aug-15,0.00,0.08,1.22,0.02,0.77,0.13,0.09,0.09,0.75,0.00,0.64,2.19,0.00,1.19,0.52,0.00,2.86,0.72,0.42,0.72,1.72,0.41,0.01,2.20,0.32,1.48,0.34,0.02,0.50,2.01,0.12,0.09,0.21,1.27,0.16,0.04,1.51,0.59,0.19,1.69,0.45,0.49,0.66,0.00,0.36,1.06,0.21,1.22,1.29,-0.06,0.04,0.38,0.02,0.04,0.39,0.27,0.68,0.05,5.66,0.87,0.05,0.23,0.68,0.39,0.13,0.00,0.04,0.45,1.63,0.28,0.29,0.30,0.18,0.01,0.03,0.21,0.02,3.38,0.00,0.64,0.00,0.92
Sep-15,0.00,0.05,0.29,0.03,0.02,0.02,0.00,0.17,0.60,0.00,0.60,0.28,0.00,0.21,0.97,0.21,0.59,0.73,0.43,0.00,0.00,0.00,0.32,0.36,0.70,0.00,0.00,0.00,0.70,-0.02,0.04,0.01,0.14,0.70,0.01,0.78,-0.01,0.04,-0.06,0.00,0.00,0.92,0.33,0.00,0.32,0.80,0.54,0.56,0.23,0.00,0.09,0.02,0.00,0.08,0.54,1.40,0.01,0.59,1.17,0.87,0.23,0.11,0.25,0.07,1.04,0.08,0.00,0.88,1.14,0.02,0.76,0.21,0.09,0.00,0.05,0.11,-0.06,1.12,1.02,0.14,0.41,0.39
Oct-15,0.00,0.04,0.03,2.83,0.91,0.27,0.00,0.16,1.53,0.00,0.05,0.21,0.00,0.34,0.12,0.00,0.04,0.00,0.00,0.13,0.42,0.03,0.56,0.13,0.21,0.00,0.17,0.15,0.00,1.73,1.34,0.00,-0.04,0.03,-0.02,0.05,0.54,0.56,0.00,0.00,0.02,0.04,0.02,0.04,1.23,0.14,0.55,0.45,0.30,0.00,0.06,0.32,0.69,0.16,0.47,0.04,2.99,0.06,0.15,0.31,0.26,0.01,0.75,0.29,1.04,0.00,0.73,0.15,0.00,0.06,0.17,1.09,0.39,0.33,0.08,0.02,0.97,0.01,0.50,0.03,-0.02,0.26
Nov-15,0.00,0.00,0.00,0.00,0.20,0.01,0.10,0.03,0.36,0.00,0.09,0.00,0.13,0.50,0.65,0.00,0.04,0.00,0.00,0.63,0.00,0.00,0.16,0.65,0.00,0.00,0.43,0.09,0.00,0.43,0.27,0.02,0.14,0.37,0.22,0.15,0.10,0.11,0.16,0.00,0.00,0.42,0.03,0.12,0.57,0.14,0.92,0.00,0.09,0.00,0.09,0.03,0.01,0.35,0.01,0.01,0.19,0.38,0.66,0.23,0.84,0.08,0.45,0.10,0.18,0.00,0.02,0.39,0.03,0.46,0.21,0.12,0.16,0.02,0.10,0.44,0.37,0.28,0.05,0.51,0.00,0.32
Dec-15,0.00,0.11,0.00,0.89,0.45,0.04,0.00,0.00,0.04,0.87,0.49,0.01,0.00,0.03,0.73,0.00,0.01,0.01,0.00,0.00,0.32,0.11,2.44,0.13,0.41,0.21,0.06,0.00,0.74,0.01,0.00,0.02,0.14,0.00,0.00,0.73,0.21,0.17,0.01,0.00,0.00,0.03,0.08,0.00,0.15,1.06,0.15,0.40,0.30,0.11,1.32,0.32,0.02,1.00,0.89,0.60,0.00,0.34,0.09,0.78,0.13,2.14,0.16,0.18,0.99,0.02,-0.01,0.46,-0.02,0.09,0.07,2.75,0.02,1.08,0.90,2.26,0.11,0.02,-0.02,0.06,0.04,0.35
Jan-16,0.00,0.00,0.00,0.83,0.37,1.71,0.59,0.01,0.04,0.00,0.07,0.00,0.28,0.84,0.16,0.09,0.33,0.00,0.00,3.61,0.00,0.03,0.14,0.08,0.19,0.06,0.35,0.25,0.25,0.48,0.40,0.20,0.05,0.65,-0.01,0.16,0.37,0.18,0.20,0.00,0.00,0.13,0.12,-0.01,0.08,0.70,0.31,-0.01,0.05,0.12,0.25,0.02,0.61,0.66,2.05,0.00,0.61,0.59,0.15,0.90,-0.01,1.27,1.32,0.00,0.18,0.41,1.40,0.17,0.00,0.37,0.64,3.48,0.00,0.04,0.10,3.23,-0.02,0.11,0.00,0.33,0.57,0.34
Feb-16,2.64,0.00,0.00,0.71,1.78,3.22,0.01,0.59,0.04,0.62,0.47,0.00,0.06,0.03,0.62,0.00,0.41,0.00,1.25,0.00,0.02,1.31,1.06,0.31,0.01,0.36,1.02,0.00,0.13,0.32,0.05,0.70,0.30,1.35,0.04,0.12,0.03,0.09,0.40,0.00,1.15,0.09,0.08,0.13,0.31,0.17,0.40,1.61,0.06,0.00,0.21,0.04,0.01,0.29,0.70,0.06,0.01,0.00,0.03,1.01,0.29,0.47,0.18,0.00,0.25,0.20,0.00,0.11,3.93,0.00,1.11,0.00,0.00,0.00,0.44,0.89,0.38,0.01,0.01,-0.03,1.34,0.47
Mar-16,0.00,0.60,0.42,0.28,-0.14,0.73,0.01,-0.01,0.31,0.00,0.00,0.39,0.14,0.91,0.74,0.73,0.00,0.00,0.00,0.00,-0.02,0.00,0.04,0.17,0.60,-0.02,0.06,-0.02,0.15,-0.07,0.52,0.01,0.40,0.31,0.01,0.17,0.28,0.16,-0.07,0.00,0.50,0.19,0.06,0.25,0.12,0.31,0.12,0.85,0.06,0.15,0.03,0.01,0.82,0.98,0.29,0.00,0.07,0.11,0.20,0.25,0.19,0.44,0.89,0.00,0.01,0.00,0.26,0.56,0.00,0.15,0.52,0.63,0.00,0.03,0.23,-0.02,0.00,-0.01,0.00,-0.03,0.71,0.23
Apr-16,0.13,0.00,0.05,0.05,0.60,0.29,0.00,0.02,0.38,0.00,0.64,0.00,0.47,0.08,0.75,0.00,0.06,0.00,0.00,0.12,-0.01,0.00,0.32,0.19,0.49,0.16,0.04,0.04,0.00,0.35,0.03,0.05,0.14,0.19,0.01,0.21,0.14,0.10,-0.03,0.00,0.40,0.61,0.43,-0.01,0.35,0.73,0.06,0.02,0.65,0.00,0.70,0.09,0.63,0.24,-0.01,0.84,0.11,0.64,0.00,1.31,0.16,0.01,0.89,0.00,0.07,0.00,1.08,0.06,0.48,0.03,0.11,0.88,0.00,0.36,0.12,0.12,0.00,0.43,0.15,0.11,0.00,0.25
May-16,0.00,0.00,0.03,0.33,0.17,0.61,0.19,0.03,0.18,0.00,0.32,0.02,0.00,0.46,0.59,0.00,0.02,0.02,0.03,0.00,0.01,0.08,0.23,0.09,0.12,0.72,0.02,-0.04,0.16,0.30,0.95,0.02,0.00,0.03,0.10,0.33,0.07,0.14,0.73,0.00,0.00,0.09,0.11,0.02,-0.17,0.32,-0.03,0.02,2.44,0.75,0.02,0.31,0.23,0.03,0.64,0.00,0.00,0.03,0.00,0.28,0.22,0.02,0.01,0.00,0.04,1.12,0.00,0.62,0.00,0.07,0.14,0.52,0.00,0.07,0.46,0.00,0.06,0.00,0.00,0.19,0.00,0.21
Jun-16,0.00,0.18,1.19,0.04,0.41,0.53,0.02,-0.01,0.13,0.00,0.18,0.00,1.07,0.49,0.57,0.03,1.40,0.25,0.09,1.43,0.41,0.00,0.09,0.24,0.17,0.04,0.00,0.06,0.22,1.12,0.27,0.36,0.07,0.03,0.00,0.13,1.12,0.20,0.47,0.14,0.25,0.49,0.65,0.02,-0.07,0.99,0.00,1.80,-0.16,0.00,0.15,1.48,0.26,0.28,0.17,0.20,0.00,0.15,0.13,1.17,0.31,0.65,1.88,0.05,0.12,2.19,0.48,0.43,0.00,1.03,0.12,0.01,0.31,1.24,0.21,0.06,0.09,0.58,0.02,0.07,0.07,0.37
Jul-16,0.00,0.18,0.08,0.00,-0.06,0.50,0.03,0.02,0.00,0.00,2.89,0.00,0.00,0.49,1.16,0.00,0.13,0.25,0.02,3.43,0.00,0.00,1.63,0.88,0.08,0.37,0.44,-0.04,0.00,0.31,0.38,0.08,0.79,0.79,0.05,0.06,2.38,0.07,0.00,0.00,0.46,0.55,0.38,0.03,0.33,0.84,0.27,0.31,1.82,0.57,0.02,0.01,0.12,0.29,0.81,0.00,0.32,0.01,1.22,0.49,0.21,0.05,0.02,0.31,0.02,0.12,0.00,0.43,0.00,0.53,0.56,0.00,0.32,1.09,0.00,0.09,0.00,-0.02,0.23,-0.08,0.26,0.52
Aug-16,1.72,0.43,0.60,0.33,0.00,1.08,0.22,0.09,0.88,0.00,0.01,0.17,0.09,0.86,1.44,0.00,0.30,1.88,0.16,0.19,0.60,0.00,0.07,0.58,0.01,0.09,0.50,0.00,-0.02,1.20,0.00,0.23,0.01,0.30,0.00,0.00,-0.06,0.30,0.00,0.40,1.08,0.02,0.12,0.01,0.60,0.14,0.15,-0.02,0.19,1.40,0.08,0.03,0.76,0.00,0.22,0.22,1.10,0.30,4.07,0.26,1.03,0.17,-0.03,0.00,0.03,0.00,0.03,0.28,0.74,0.02,0.30,3.93,0.00,0.81,0.04,0.37,0.07,-0.02,0.00,2.97,0.19,0.44
Sep-16,0.00,0.05,0.48,-0.02,-0.01,1.20,0.17,0.04,0.28,0.00,0.19,0.08,0.00,0.04,0.57,0.00,0.82,0.27,0.00,0.27,0.50,0.00,0.00,0.03,0.01,0.83,-0.05,0.00,0.27,0.30,0.01,0.17,0.06,0.00,0.00,0.11,0.15,0.04,0.13,0.20,0.04,0.19,0.14,0.00,0.62,0.79,0.00,-0.01,0.88,0.00,0.22,0.00,0.10,0.56,0.48,0.29,0.36,0.30,0.05,0.99,0.32,0.01,0.08,0.12,-0.08,0.18,0.36,0.11,0.01,0.04,0.06,0.15,0.00,0.35,0.25,0.03,1.52,0.95,-0.15,2.09,2.25,0.24
Oct-16,0.00,0.02,0.16,0.30,0.00,0.21,-0.03,0.73,0.45,0.00,0.03,0.83,0.04,0.14,0.00,0.05,0.46,0.01,0.13,0.00,0.00,0.00,0.15,0.10,0.52,0.57,0.05,0.00,0.00,0.22,0.00,0.01,0.00,0.05,0.00,0.57,0.00,0.52,-0.03,0.05,0.00,0.16,0.03,0.00,0.09,0.16,-0.04,0.58,0.96,0.00,0.64,1.03,-0.02,0.03,0.25,0.46,1.23,0.09,0.00,0.17,0.00,0.03,0.54,0.00,0.01,0.21,0.01,0.20,-0.02,0.11,0.04,0.00,0.02,1.48,0.10,0.00,0.61,-0.01,0.02,0.00,0.98,0.17
Nov-16,0.00,0.83,0.00,0.00,0.07,0.43,0.00,0.02,0.38,0.00,1.72,0.34,0.00,0.23,0.39,0.54,0.17,0.09,0.00,0.00,0.09,0.11,0.01,0.04,0.01,0.25,0.68,-0.02,0.03,0.19,0.00,0.09,0.10,0.05,0.20,0.00,0.04,0.44,0.15,0.08,0.01,0.49,0.03,0.07,0.12,0.21,0.08,0.06,0.14,0.00,0.66,0.23,0.04,0.24,0.03,1.94,0.13,0.01,0.00,0.02,0.26,0.01,1.14,0.07,0.32,0.07,0.60,0.14,0.00,0.14,0.65,0.00,0.00,1.94,0.44,0.23,0.12,1.77,0.05,0.91,0.39,0.20
Dec-16,0.00,0.21,0.20,0.02,0.00,0.06,1.34,0.07,0.10,0.00,0.03,0.12,0.01,0.08,0.00,0.01,0.35,0.21,0.00,0.00,0.66,0.54,0.35,0.60,0.45,0.00,0.62,-0.01,0.69,0.04,0.13,0.27,0.00,0.02,-0.01,0.02,0.00,0.51,0.48,0.00,0.17,0.09,0.04,0.11,0.06,0.97,0.79,3.45,0.54,0.00,0.25,0.99,0.17,0.01,-0.01,0.00,0.00,0.58,0.62,0.18,0.46,-0.04,0.10,0.22,0.01,0.00,0.00,0.05,0.02,0.13,0.06,2.07,0.01,0.18,1.18,0.00,0.77,0.00,0.16,0.12,0.00,0.42
