,URUTAN,BULAN,KOTA MEULABOH,KOTA BANDA ACEH,KOTA LHOKSEUMAWE,KOTA SIBOLGA,KOTA PEMATANG SIANTAR,KOTA MEDAN,KOTA PADANGSIDIMPUAN,KOTA PADANG,KOTA BUKITTINGGI,TEMBILAHAN,KOTA PEKANBARU,KOTA DUMAI,BUNGO,KOTA JAMBI,KOTA PALEMBANG,KOTA LUBUKLINGGAU,KOTA BENGKULU,KOTA BANDAR LAMPUNG,KOTA METRO,TANJUNG PANDAN,KOTA PANGKAL PINANG,KOTA BATAM,KOTA TANJUNG PINANG,DKI JAKARTA,KOTA BOGOR,KOTA SUKABUMI,KOTA BANDUNG,KOTA CIREBON,KOTA BEKASI,KOTA DEPOK,KOTA TASIKMALAYA,CILACAP,PURWOKERTO,KUDUS,KOTA SURAKARTA,KOTA SEMARANG,KOTA TEGAL,KOTA YOGYAKARTA,JEMBER,BANYUWANGI,SUMENEP,KOTA KEDIRI,KOTA MALANG,KOTA PROBOLINGGO,KOTA MADIUN,KOTA SURABAYA,KOTA TANGERANG,KOTA CILEGON,KOTA SERANG,SINGARAJA,KOTA DENPASAR,KOTA MATARAM,KOTA BIMA,MAUMERE,KOTA KUPANG,KOTA PONTIANAK,KOTA SINGKAWANG,SAMPIT,KOTA PALANGKA RAYA,TANJUNG,KOTA BANJARMASIN,KOTA BALIKPAPAN,KOTA SAMARINDA,KOTA TARAKAN,KOTA MANADO,KOTA PALU,BULUKUMBA,WATAMPONE,KOTA MAKASSAR,KOTA PARE-PARE,KOTA PALOPO,KOTA KENDARI,KOTA BAU-BAU,KOTA GORONTALO,MAMUJU,KOTA AMBON,KOTA TUAL,KOTA TERNATE,MANOKWARI,KOTA SORONG,MERAUKE,KOTA JAYAPURA
10,10,2014-11-01,0.02,0.2,0.1,1.64,2.99,-0.36,0.48,0.59,0.04,0.5,0.12,2.35,-0.16,0.28,-0.47,0.51,-1.49,0.66,0.3,4.55,-0.14,0.49,-0.25,0.35,0.15,0.43,0.27,0.45,0.66,0.35,-0.06,-0.31,-0.11,0.65,0.28,0.17,-0.34,1.31,0.46,-0.5,0.26,0.27,0.24,0.05,1.34,1.39,0.12,1.5,1.28,5.78,0.28,1.1,-0.22,0.19,0.74,0.0,-0.07,-0.12,-0.03,-0.12,0.0,0.14,0.59,-0.2,0.09,-0.04,0.0,0.21,1.05,-0.81,0.85,0.46,-1.17,0.1,-0.11,0.49,-0.09,0.1,0.23,-0.01,0.61,0.37
11,11,2014-12-01,0.19,0.43,0.17,0.17,1.15,1.1,2.14,0.18,0.13,0.25,1.0,0.38,0.1,1.5,0.92,0.88,2.2,5.27,-0.02,0.69,0.39,0.46,0.6,1.64,2.04,0.79,-0.1,0.13,0.19,0.87,0.35,0.99,0.53,0.64,0.08,1.53,0.06,0.77,1.61,0.25,0.31,0.38,1.21,0.41,-0.05,0.18,2.02,0.33,2.6,0.92,0.21,1.1,0.7,2.72,1.04,0.18,1.01,0.29,-0.24,-0.06,-0.07,-0.01,0.73,0.15,0.48,0.1,0.0,0.36,0.65,2.9,0.21,0.72,0.12,0.82,-0.39,0.36,-0.2,0.0,0.2,0.16,0.9,0.95
12,12,2015-01-01,0.0,0.4,0.18,0.71,0.8,2.03,2.58,0.18,-0.5,0.07,0.3,6.64,0.56,0.48,0.18,-0.36,-0.3,0.06,-0.02,0.07,-1.73,0.58,0.11,0.4,0.73,2.49,0.15,-0.07,0.24,0.08,0.36,0.7,1.12,1.07,0.54,0.24,2.03,0.31,0.19,0.62,-0.02,1.09,0.93,0.93,-0.11,0.5,0.34,0.4,0.73,1.22,0.12,0.69,0.65,2.23,1.21,-0.1,-0.14,-0.02,2.45,0.26,-0.93,0.21,0.83,0.38,1.6,-0.01,0.0,-0.02,1.73,0.0,0.03,-0.46,0.55,-0.07,1.37,0.32,0.51,0.3,2.5,1.24,-0.42,0.47
13,13,2015-02-01,0.0,-0.14,0.0,0.48,0.88,0.62,0.12,0.38,0.03,0.0,0.32,1.06,0.09,-0.03,0.3,-1.26,0.32,-0.28,0.02,0.15,-0.3,0.43,0.59,0.22,0.43,-0.16,0.54,-0.05,-0.03,0.47,0.23,-0.1,0.12,1.46,0.0,0.19,0.32,0.68,0.58,1.14,0.6,-0.08,0.07,0.82,0.15,0.64,1.16,0.34,1.59,5.16,-0.18,-0.04,0.36,0.67,0.19,0.97,1.93,0.15,0.0,1.11,0.11,1.81,0.75,0.49,-0.17,0.84,0.0,0.38,-0.21,0.27,0.38,-0.08,0.03,-0.24,0.86,2.84,0.38,-0.16,4.46,3.16,1.12,0.42
14,14,2015-03-01,0.0,-0.08,0.41,0.21,0.76,0.99,0.04,0.14,1.47,0.93,0.34,0.98,0.45,1.48,0.59,1.08,0.75,0.13,1.51,-0.14,1.62,0.05,0.55,1.45,0.33,0.1,0.79,1.39,-0.09,0.34,0.23,0.64,0.05,0.56,0.7,0.48,1.68,0.38,0.02,0.14,1.01,0.11,0.25,0.7,0.87,0.44,0.82,0.68,1.48,-0.7,-0.04,0.04,1.09,1.05,0.94,0.2,1.27,1.1,0.11,0.6,0.13,0.46,2.06,0.18,0.17,0.36,0.16,1.21,0.75,0.24,0.05,-1.21,-0.03,0.29,-0.7,0.74,0.33,0.11,0.21,2.55,0.02,0.7
15,15,2015-04-01,0.0,0.53,0.38,0.69,2.79,1.1,0.75,0.16,-0.39,2.06,0.75,3.07,2.09,1.95,1.89,1.43,0.38,1.25,1.54,-0.64,0.8,1.25,0.3,0.42,0.73,0.24,0.46,-0.39,0.67,0.75,0.32,1.57,1.14,0.4,1.19,0.85,4.29,0.76,0.47,0.99,1.96,0.78,1.92,1.37,0.67,1.36,1.18,0.43,1.29,1.61,0.74,0.91,0.68,-0.02,1.85,0.61,1.06,1.13,1.4,1.02,-0.01,1.25,0.49,0.45,1.92,0.52,1.37,0.02,0.42,0.46,0.89,0.9,1.5,0.29,2.23,0.12,0.5,0.0,0.89,0.91,0.21,0.85
16,16,2015-05-01,7.06,0.14,0.27,0.69,-0.13,1.3,0.99,0.26,1.66,0.36,0.32,0.96,0.72,0.86,0.85,0.08,0.79,0.71,1.22,0.06,0.41,0.37,3.38,0.28,0.27,1.05,0.22,0.19,0.37,0.56,0.14,0.87,0.99,0.47,0.77,0.49,2.89,0.46,3.61,0.78,0.54,0.54,1.08,0.63,0.86,0.78,1.81,1.41,0.63,0.21,0.31,0.31,0.08,0.5,1.69,1.44,0.67,1.18,1.02,1.22,0.39,0.85,0.6,0.64,0.33,0.65,0.14,0.02,0.87,0.13,0.92,0.69,2.18,1.3,0.25,1.01,1.2,0.18,0.46,0.13,0.04,0.63
17,17,2015-06-01,1.45,0.41,0.81,1.01,1.01,1.41,2.66,0.39,1.65,0.58,0.29,0.16,0.14,1.59,0.39,1.6,0.89,0.55,1.77,-0.57,0.41,-0.04,0.03,0.84,0.23,0.18,0.94,0.5,0.75,0.22,3.2,1.07,1.04,1.25,1.23,1.05,4.63,0.87,1.17,2.26,1.02,1.15,2.02,1.34,0.85,1.6,0.59,2.12,1.8,0.64,0.14,0.8,0.46,-0.11,1.58,0.93,0.77,1.4,1.13,1.82,1.52,1.87,1.67,0.25,0.71,0.3,0.37,1.64,0.71,0.33,1.01,3.03,2.99,0.71,2.21,0.36,1.6,1.53,2.83,0.34,0.76,1.0
18,18,2015-07-01,0.21,-0.06,0.0,0.13,0.42,1.17,0.11,0.71,2.17,0.21,-0.09,2.42,0.95,-0.1,0.22,1.85,0.19,0.39,1.8,-0.03,0.79,0.39,0.03,0.5,0.65,0.06,0.26,1.25,0.69,0.54,0.12,0.18,0.22,1.08,-0.23,0.24,-0.88,0.48,0.1,0.21,-0.89,-0.14,-0.43,0.54,1.09,0.23,0.01,0.19,-0.37,-0.04,-0.03,0.36,0.05,-0.04,0.41,-0.1,0.25,0.69,0.25,3.68,2.88,0.99,0.36,1.3,-0.06,0.07,0.31,2.21,-0.45,0.96,0.41,1.67,-0.21,0.0,0.86,1.92,2.25,0.45,1.78,-0.64,0.38,0.51
19,19,2015-08-01,0.0,0.15,1.08,-0.03,-0.11,0.0,0.1,0.02,-0.23,0.0,-0.03,2.93,-0.04,0.24,0.02,0.0,-0.15,0.04,-0.83,0.18,0.0,0.25,0.5,0.46,0.42,0.08,-0.03,-0.09,0.37,0.44,-0.07,0.08,-0.16,0.22,-0.25,0.05,-1.65,0.46,0.38,-0.42,0.09,-0.21,0.15,-0.09,0.56,0.49,0.08,0.2,0.02,-0.01,0.01,0.1,0.52,0.0,0.42,0.02,0.08,0.12,1.37,1.97,0.06,0.86,-0.11,0.04,0.0,0.28,-0.04,1.2,-0.12,0.18,0.4,3.45,0.17,0.0,0.28,1.89,0.21,0.13,0.5,-1.65,0.06,0.28
20,20,2015-09-01,-0.38,0.14,-0.07,-0.2,0.61,0.01,-0.2,-0.13,-1.26,0.16,-0.06,0.12,0.78,-0.03,0.38,0.4,0.35,-0.27,-0.07,-0.31,0.33,0.17,0.59,0.04,0.01,-0.14,0.09,-0.38,-0.2,0.1,0.0,-0.58,-0.54,-0.17,-0.05,-0.08,-1.36,-0.17,-0.08,-0.42,0.0,-0.29,0.25,0.1,0.44,0.7,0.1,2.72,0.48,0.09,0.17,0.1,-0.08,0.07,0.26,0.44,-0.16,-0.5,-0.07,0.04,-0.29,0.32,0.0,0.37,-0.12,-0.86,0.59,0.36,-0.13,0.91,0.64,0.0,-0.75,0.01,-0.27,-0.34,-0.85,0.12,-0.57,0.55,-0.88,0.09
21,21,2015-10-01,0.0,0.03,0.13,-0.14,0.19,0.03,0.47,0.08,0.74,-0.04,0.1,0.98,-0.17,0.54,0.22,-0.43,0.02,0.12,0.27,-0.47,1.48,0.93,0.48,0.73,-0.02,-0.05,-0.07,0.27,-0.03,0.87,0.39,-0.16,0.0,0.06,0.45,0.14,3.12,0.37,0.13,-0.2,0.68,-0.28,0.25,1.29,0.73,0.24,0.17,1.93,0.59,0.05,0.79,1.08,1.93,0.31,0.44,0.02,0.06,-0.18,-0.42,-0.03,0.5,0.14,-0.04,0.8,0.09,0.33,-1.3,0.69,0.06,0.66,-0.41,-0.02,1.19,0.17,0.3,0.8,1.38,0.32,0.11,-0.42,0.45,0.39
22,22,2015-11-01,0.0,0.31,0.01,0.08,0.04,0.11,0.11,0.29,0.1,0.04,0.04,-0.37,0.26,0.4,0.33,-0.57,-0.22,0.48,0.49,-0.16,-0.79,0.97,1.48,-0.23,0.0,-0.04,0.21,0.04,0.1,0.38,0.1,1.14,0.38,0.1,0.02,0.04,0.68,0.07,0.04,0.4,0.08,0.33,0.64,-0.11,0.05,0.2,0.63,0.16,0.15,0.53,0.04,0.29,0.03,0.0,0.87,0.04,2.06,0.46,-0.33,0.03,3.26,0.02,0.07,0.44,0.09,0.57,-0.21,0.31,0.47,-0.03,0.07,-0.06,-0.02,0.87,0.12,-2.85,0.32,0.65,0.43,0.35,0.02,0.19
23,23,2015-12-01,0.0,0.07,0.18,1.88,0.02,0.1,0.6,0.93,0.34,0.18,0.01,-0.39,0.46,0.2,1.39,0.19,0.02,0.09,0.63,0.0,-0.01,0.39,0.16,0.34,0.24,0.06,-0.07,0.0,0.1,1.12,0.02,0.43,0.43,0.08,0.6,0.26,1.63,0.21,0.16,0.26,0.95,0.28,-0.01,-0.18,0.16,0.11,0.26,0.02,0.86,2.67,1.89,0.31,0.47,-0.01,1.03,0.83,0.2,0.14,0.28,0.75,-0.15,0.84,-0.09,2.23,0.3,-0.07,1.52,0.12,-0.01,0.21,0.43,-0.24,1.09,-0.04,0.36,1.55,0.37,-0.19,0.24,0.15,0.13,0.38
24,24,2016-01-01,0.06,0.36,0.42,0.44,-0.11,0.42,2.34,-0.14,0.83,0.94,0.2,0.99,0.31,1.01,0.48,1.06,-1.63,1.26,0.32,1.55,0.09,0.04,0.08,0.96,0.08,2.3,0.12,0.44,0.17,0.52,0.12,1.01,0.64,0.37,1.59,1.67,1.9,0.51,0.37,0.56,0.9,0.59,0.57,0.49,0.38,0.34,0.45,0.3,1.44,1.09,0.47,0.21,0.55,1.21,0.69,0.69,0.2,0.2,-0.28,0.98,0.38,1.68,0.43,0.33,0.59,-0.24,0.45,0.09,-0.05,0.23,1.03,4.46,0.91,0.07,0.27,0.22,0.14,0.38,0.94,0.43,0.77,0.61
25,25,2016-02-01,0.59,0.34,0.94,0.1,0.08,2.57,0.12,0.43,0.23,0.96,0.36,0.36,0.08,0.81,1.62,0.54,1.54,0.57,2.68,0.15,0.79,0.22,0.24,0.26,-0.01,0.23,-0.01,-0.16,0.23,0.41,0.1,0.39,0.08,0.24,0.75,0.47,-0.27,0.82,1.36,0.85,0.07,-0.15,0.27,1.16,0.12,0.43,0.4,0.44,0.42,0.08,0.43,0.23,0.15,0.25,0.33,0.52,0.12,0.86,0.0,0.02,0.43,2.02,0.32,-0.03,0.49,0.0,0.39,0.16,0.24,-0.08,0.68,0.16,0.62,0.0,0.13,3.56,0.46,1.84,1.57,0.38,0.21,0.47
26,26,2016-03-01,-0.26,0.98,0.08,0.19,0.82,0.74,0.06,0.2,0.38,0.75,0.19,0.16,0.15,1.35,0.3,0.08,2.46,0.37,1.7,-0.25,0.57,0.08,0.11,0.41,0.22,-0.18,0.9,-0.07,0.08,0.08,0.74,-0.12,0.05,-0.03,0.18,-0.1,0.37,0.38,1.04,-0.07,0.49,0.26,0.86,0.55,0.36,0.18,0.04,0.11,0.49,0.0,1.28,0.06,0.72,1.7,0.79,-0.86,0.5,0.61,-0.02,1.26,0.07,-0.19,-0.13,0.3,0.36,0.34,0.09,0.07,0.46,0.13,0.75,-1.58,-0.38,0.2,-0.05,1.77,-0.04,-0.14,0.0,0.46,0.62,0.36
27,27,2016-04-01,0.13,0.4,0.47,-0.11,1.15,0.74,0.1,0.42,0.31,0.02,0.03,0.21,0.69,0.27,0.8,0.82,0.64,-0.07,0.25,0.99,-0.04,0.11,0.32,0.37,1.28,0.14,-0.16,0.6,0.36,0.86,0.08,0.64,0.13,0.18,0.53,0.28,1.4,0.48,0.36,0.55,0.96,0.57,1.08,0.13,0.25,0.36,1.06,0.17,-0.27,1.1,1.74,0.31,0.51,0.54,-1.32,-0.03,0.06,-0.09,0.09,0.45,0.0,0.56,0.9,0.5,0.39,0.0,-0.98,0.05,0.15,0.35,-0.2,0.77,0.39,0.3,0.47,0.4,0.55,0.37,0.05,-0.02,-0.07,0.43
28,28,2016-05-01,1.33,1.15,1.26,3.22,4.24,2.8,0.92,1.55,2.66,2.05,1.62,0.11,2.02,1.91,3.34,1.76,1.61,2.41,2.69,4.68,0.59,1.04,1.14,0.7,0.02,1.09,0.52,0.23,1.05,2.4,2.06,1.04,2.05,1.56,3.35,1.91,6.5,1.58,2.03,2.85,3.79,2.24,1.94,1.98,1.48,1.65,0.38,0.5,1.93,1.73,0.93,1.02,0.99,1.14,3.42,2.52,1.97,3.1,2.94,3.34,0.31,0.69,3.03,1.15,1.92,5.39,3.31,0.97,2.05,1.57,1.83,2.1,2.86,1.89,4.05,2.16,0.88,1.61,5.77,0.49,0.08,1.5
29,29,2016-06-01,1.16,0.9,2.75,1.16,3.79,4.07,1.28,2.28,3.38,1.29,1.2,1.17,2.45,1.98,1.4,1.71,1.2,1.46,4.5,-0.49,3.23,1.79,0.94,0.35,0.42,3.29,0.9,1.1,0.54,0.06,0.56,2.73,2.21,0.84,1.73,1.08,2.91,1.38,1.64,2.81,1.48,0.5,2.03,2.96,1.29,2.42,-0.01,1.94,1.39,1.46,0.87,1.49,1.63,1.55,1.89,1.77,1.12,1.86,5.38,3.91,4.08,2.67,2.83,1.84,2.24,2.37,5.12,1.49,1.65,3.64,2.12,0.78,6.94,0.96,3.13,3.13,3.6,2.12,3.02,0.53,3.42,1.41
30,30,2016-07-01,1.94,1.28,0.88,0.74,2.23,2.6,0.37,1.61,0.33,0.69,1.21,0.94,0.87,1.61,0.9,0.98,0.69,0.26,1.6,0.0,0.44,0.27,0.31,0.6,0.27,1.11,0.51,1.09,0.28,0.6,0.63,1.75,0.2,-0.02,0.36,0.11,1.15,0.96,0.04,0.94,0.11,0.5,0.24,0.21,0.31,3.2,0.14,1.79,2.08,0.55,0.49,0.41,1.28,0.83,3.39,2.37,0.29,0.59,2.04,0.28,0.36,0.48,0.97,0.47,0.66,1.21,0.79,0.47,0.69,0.7,0.75,1.24,0.64,1.17,0.32,0.61,0.5,0.64,1.99,0.0,0.56,0.86
31,31,2016-08-01,-0.27,-0.7,-0.63,-0.16,-2.11,-0.5,0.48,0.62,-0.36,0.18,-0.55,-0.14,-0.32,0.1,1.16,0.75,-0.67,-0.55,-0.99,-0.35,0.64,0.26,0.28,1.04,0.13,-0.1,0.04,0.24,-0.59,0.7,-0.38,-0.71,-1.04,-0.74,-1.53,-0.69,-3.32,-0.03,1.17,-0.24,-2.95,-1.21,-0.78,-1.67,0.86,0.03,-0.26,1.14,0.16,-0.19,0.2,-0.49,0.94,-0.28,-0.92,-1.17,-1.16,-1.24,-2.38,-2.08,-0.13,-0.31,-0.08,-0.28,-0.22,0.45,0.62,0.93,0.28,-1.11,0.02,0.19,-1.06,-0.2,-0.57,1.3,0.92,0.34,0.01,-0.03,0.99,0.06
32,32,2016-09-01,3.14,-1.18,-0.31,-1.06,-2.3,-1.19,-0.85,-0.83,0.09,-1.39,0.29,-0.38,-1.28,-1.5,-1.64,-0.9,-0.19,0.33,-1.19,-0.23,0.59,-0.43,0.21,-0.03,0.29,-0.43,2.0,0.02,0.53,0.39,-0.18,-1.42,-1.2,0.65,-0.29,-0.33,-0.94,-0.58,0.03,-0.4,-1.62,-0.27,-0.31,-1.92,-0.11,0.39,-0.01,-0.13,0.25,-1.65,0.09,-0.06,-0.49,-0.46,-0.33,-0.33,-1.45,-1.67,-1.93,-0.77,-0.25,-0.42,-0.4,0.07,-0.56,-0.4,0.14,0.11,-0.09,-0.18,-0.22,-0.4,-1.08,0.21,-1.44,-0.4,1.64,-0.68,-1.31,0.92,0.26,-0.09
33,33,2016-10-01,-0.04,-0.33,0.1,-0.46,-0.27,-0.29,0.34,0.03,-1.16,-0.38,0.4,-0.22,-0.19,-0.17,-0.5,-1.9,0.18,-0.08,-0.06,0.29,-0.55,0.02,-0.1,-0.14,1.01,-0.38,0.05,-0.02,-0.07,-0.27,-0.12,-0.8,-0.16,0.16,-0.73,0.11,-0.19,0.83,0.54,0.63,-0.39,-0.33,-0.42,1.07,-0.02,0.1,0.13,-0.39,1.23,-0.57,0.96,0.04,-0.12,-0.96,-0.33,-0.64,-0.95,-0.75,-0.45,0.09,-0.41,-0.6,-0.5,-0.58,-0.4,-0.68,-1.94,0.07,-0.48,-1.22,-0.43,-0.38,-0.1,-0.42,-0.05,-0.37,0.08,-2.53,0.64,-0.26,-0.09,-0.06
